example	label	target	dataset
make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing	hate	{'None', 'Jewish', 'African'}	gab
a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick	hate	{'Women', 'African'}	gab
fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk	hate	{'Jewish', 'Asian', 'Women'}	gab
why are we having all these people from shithole countries coming here	hate	{'Refugee', 'Arab'}	twitter
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea	hate	{'Jewish'}	gab
people are getting pissed about the evil muzrat cult and gov t complicity	hate	{'Islam'}	gab
angry bald dyke	hate	{'Homosexual', 'Women'}	gab
if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions	hate	{'Homosexual', 'African'}	gab
<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish	hate	{'Jewish'}	gab
i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled	hate	{'Jewish'}	gab
this is the year you all get r kelly the fidduck out of here sick of that nigger	hate	{'African'}	twitter
you niggers blow my mind	hate	{'African'}	twitter
the nigger is a true snake charmer	hate	{'African'}	gab
<user> <user> <user> <user> kick that raghead out of america	hate	{'Islam', 'Arab'}	twitter
nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too	hate	{'Jewish', 'African'}	gab
you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable	hate	{'Islam'}	gab
wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great	hate	{'African'}	gab
rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed	hate	{'Other', 'Islam'}	gab
your muzrat gov t will never allow brexit	hate	{'Islam'}	gab
so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters	hate	{'African'}	gab
fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol	hate	{'Homosexual', 'Women'}	gab
excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡	hate	{'African', 'Economic'}	gab
<user> this ugly kike cunt keeps showing up on my timeline	hate	{'Jewish', 'Women'}	gab
ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol	hate	{'Homosexual', 'African'}	gab
<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops	hate	{'African'}	gab
yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists	hate	{'Homosexual'}	gab
the muzrat trash call everyone a racist	hate	{'Islam'}	gab
ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer	hate	{'Other', 'Islam'}	gab
i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>	hate	{'None', 'African'}	gab
when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot	hate	{'Homosexual', 'Jewish'}	gab
q what do a nigger and a medium domino pizza have in common a they both can not feed a family of <number> <user>	hate	{'African'}	gab
good riddance to bad nigger garbage	hate	{'African'}	gab
and all this butthurt faggotry just makes me want to join twp to spite you queers	hate	{'Homosexual'}	gab
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson	hate	{'Jewish'}	gab
white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa	hate	{'African'}	gab
<user> coming from a rag head no less	hate	{'None', 'Islam', 'Arab'}	twitter
silver medicine in my pants skrt this nigger ass clap	hate	{'None', 'African'}	twitter
if i followed you and you did not follow back fuck you i got suspended if you did not know faggots	hate	{'Homosexual'}	twitter
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides	hate	{'Jewish'}	gab
better to kill the kike first	hate	{'Jewish'}	gab
<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions	hate	{'Refugee', 'African'}	gab
<user> agusta main or texes which state you live in tossa people want to catch up with you are you scared little nigger or what	hate	{'None', 'African'}	gab
<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor	hate	{'Hispanic', 'Refugee', 'African', 'Arab'}	gab
i am offended because nigger faggot kike spic chink gook cracker	hate	{'Hispanic', 'Homosexual', 'Jewish', 'African', 'Asian'}	gab
this what happens when little adam is way smarter than his fat dyke lib teacher	hate	{'Homosexual', 'Other'}	gab
sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too	hate	{'Other', 'Islam', 'African'}	gab
biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga	hate	{'Homosexual', 'Women'}	gab
all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden	hate	{'Hispanic', 'Homosexual', 'Jewish', 'African'}	gab
that redneck stuff damn hillbilly ppl	hate	{'None', 'Other', 'Nonreligious', 'Caucasian'}	twitter
shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak	hate	{'Jewish'}	gab
the first white president since were going into skin color now obama was the first nigger president lets return to the good old times	hate	{'Minority', 'African'}	gab
there was no islamic holy violence prior to <number> retard slav nigger	hate	{'Disability', 'African'}	gab
depeche kike personal hitler remastered video	hate	{'Jewish', 'African'}	gab
refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim	hate	{'Refugee', 'Jewish'}	gab
you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron	hate	{'Jewish'}	gab
watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all	hate	{'Homosexual', 'Women'}	twitter
is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown <user>	hate	{'None', 'Jewish', 'Homosexual', 'Women'}	gab
lol at <user> thinks he a dothead kike lol	hate	{'Indian', 'Jewish'}	gab
lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again	hate	{'Indian', 'Asian', 'African'}	gab
showa time for this fucking kike	hate	{'Jewish'}	gab
<user> ian timings opinions are only those of a nigger cock sucker therefore they are invalid <number> kk	hate	{'African'}	gab
folks i do not wana be greedy so today i ama start da same program i had on twitter so here it is da first nigger who can retweet dis go win a free cup of shit to eat ok go	hate	{'African'}	gab
<user> called it hours ago and this kike rat would not reply to my calling him out either part time shit tier jidf making some extra shekels lol they are not sending their best yet	hate	{'Jewish'}	gab
<user> i want to punch trudeau then those muslimes	hate	{'Islam'}	gab
the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich	hate	{'African', 'Caucasian'}	gab
christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go	hate	{'Islam'}	gab
average white iq <number> average asian iq <number> average african iq <number> nigger they are of inferior stock as they would say in the old days why you would mix with a spic unless this is some kind of pillaging operation is beyond me	hate	{'Hispanic', 'African'}	gab
sometimes you wanna hit the girl you like up but then you remember so many niggers already doing that then you just be like hell naah 🙁	hate	{'African'}	twitter
instant mute and creeping my tl total kike behavior	hate	{'Jewish'}	gab
al iaquinta remember this name this ravioli nigglet is winning this belt	hate	{'African'}	gab
gab fam leaky weiner speak freely if you dont think nigger obama will pardon that crooked old lady you are kidding yourself classifiedinfomatters	hate	{'African'}	gab
nazi is a kike jew term invented by an inbred schizoid kike rat they were called national socialists <number> gorillion were not gassed but should have been the world would be a much better place	hate	{'Jewish', 'Islam'}	gab
while leftie morons suck fascist moslem cock oh the irony of such hypocrites	hate	{'Homosexual', 'Minority', 'Men', 'Islam'}	gab
i know they are trying to commit white genocide but is not the f ing jews but the f ing muslimes that want to kill christians and jews and atheists and hindu and budhists or submit them to their psycho cult what part of kill do not you understand	hate	{'Jewish', 'Islam'}	gab
i got thrown out of some fancy hotel on hollywood blvd a few minutes ago because i told the valet nigger where he could put his feelings about my attitude all in all a successful evening although i am sure my wife will disagree when she gets home	hate	{'Minority', 'African'}	gab
when i was like <number> i used a stick to wipe a wet dog turd on a little toddler nigger girl and we laughed so hard omg 😹 😹 😹	hate	{'African', 'Women'}	gab
of course this muzrat actually looks like a rat is trying to cause trouble the brexit marchers will be blamed for the trouble and then a ban will be put on any future brexit or free tommy marches	hate	{'Men', 'Islam', 'Arab'}	gab
<user> you mean the wypepo dindu nuffin damn	hate	{'None', 'African'}	twitter
cant wait to form a rightwingdeathsquad ™ with a few mates and lynch some obnoxious sheboons this black friday	hate	{'African', 'Women'}	gab
you can see the gook genes	hate	{'Asian'}	gab
god dam these nigger biches ugly ass fuck	hate	{'Women', 'African'}	gab
niggers should suck white dick them faggots	hate	{'Homosexual', 'African'}	twitter
<number> and me is a kike company they started to see how the agenda is going	hate	{'Jewish'}	gab
city erea and nigger ofcourse	hate	{'African'}	gab
khan can suck the shit off the syphilitic dicks of his moslem pedo brothers uk cops can lick up the mess never rotherham rochdale rape jihad sharia creep islamo facism white genocide christiangenocide never islam 14 words	hate	{'Jewish', 'Men', 'Islam'}	gab
to much same sex semen gulping mohammedans stone queers to death mohammedans throw queers off tall building queers are so ignorant that they want to fly like superman	hate	{'Homosexual', 'Islam'}	gab
apples and oranges you said you liked a paki and loved a nigger not that you enjoyed watching the show they were on hypocrisy	hate	{'African', 'Islam'}	gab
whats with this disgusting mudshark following me	hate	{'Heterosexual', 'African', 'Women'}	gab
last week i ate at a new hipster bbq restaurant and heard the most god awful nigger noise ever blaring from the speakers it turned out to be what apparently passes for country music these days what the fuck happened	hate	{'None', 'African'}	gab
as a full blown gas the kike nazi otoya yamaguchi is in my top <number> nationalist heroes	hate	{'Jewish'}	gab
<user> to hell with your man white devil	hate	{'Other', 'Caucasian'}	twitter
god will not bless the republican party who bans christians including queers is tolerance banning christians is sin cpac is no longer christian	hate	{'Christian', 'Homosexual'}	gab
the iranian regime has a mosque in my home town thousands of miles from tehran its controlled by the revolutionary guard do not let the persian kike fool you	hate	{'Jewish', 'Other'}	gab
oprah is an affirmative action piece of shit fat ass nigger bitch	hate	{'African', 'Women'}	gab
<user> it will not matter to the great leaders of this country bobama killary want jihad muslimes throught world genocide the plan no job no no food death	hate	{'Other', 'Islam'}	gab
that not a compliment a compliment is you are sexy you turn me on not not one look at you and i know i am queer	hate	{'Homosexual'}	twitter
i ask jim how to steal a pop socket from target and he told me to get a scooter and act retarded	hate	{'None', 'Disability'}	twitter
liberals are votewhoring pukes enabling the moslem invasion since the 7 0 p.e. trudeau m cult biling policies allowed quebec to fast track immigrants from france former colonies in n africa that how the 2 nd gen moslem terror aka the <number> montreal massacre happened much more since	hate	{'Refugee', 'Other', 'Islam'}	gab
since jews have tried to exterminate white it seems only right that every single jewish girl have a nigger for her first night those who say they are jews and are not but do lie and are the synagogue of satan	hate	{'Jewish', 'Women', 'African'}	gab
the chimp virgin nigger can not spell australian so he has to ebonics text oz instead	hate	{'African'}	gab
4 chan humour a mexican and a nigger arr in a car who is driving a cop	hate	{'Hispanic', 'African'}	gab
good night family god bless remember every muscum wants us dead but god is our savior this ha all been foretold it just a matter of accepting we are at war yet we sit on screens love ya all again god bless	hate	{'Other', 'Islam'}	gab
president trump should not recieve kike netanyahu either and should not acknowledge israel as a country either and should exterminate all jews as well	hate	{'Jewish'}	gab
i had it out with that moon guy hes one of them 4 chan gook lovers	hate	{'Asian'}	gab
<number> <number> salute brother its the the truth and nothing but the truth enjoy and let it develop your brain and use it against your kike government	hate	{'Jewish'}	gab
i am surprised twitter did not promote the nigger that did this what made twitter cuck to the right at the last minute the bitches	hate	{'African', 'Women'}	gab
we need nigger control	hate	{'African'}	gab
<number> week ban wot game chat ban for saying i want to throw your mother in an oven shitskin	hate	{'Indian', 'Asian', 'Other'}	gab
she deserved it for race mixing looks like a quadroon tho either way another nigger made good too bad the baby lived	hate	{'African'}	gab
boy scouts and girl scouts have really been good for american youth brownies is the girls club before girl scouts or was why mess with success why let the damned queers ruin the land	hate	{'Homosexual'}	gab
who pussy would be better anne coulter or laura ingrahm both would be good to talk nasty to when i am breeding with them give laura a proper white baby then talk hatred of the nigger with anne coulter	hate	{'African', 'Women'}	gab
sorry mate my comment was more so aimed at the self professed kike killer	hate	{'Jewish'}	gab
fuck the hell out of new orleans nothing but niggers faggots nigger faggots trannies freaks and more fucking niggers	hate	{'Homosexual', 'African'}	gab
i have never liked netflix netfux so i am cancelling my subscription will buy movies elsewhere and never go to amazon another usa trump hater for streaming videos either putting this nigger cunt on the board and the upcoming male cunt obummer show on netfux has done it for me	hate	{'Women', 'African'}	gab
free weev we need another ruby ridge torba is a faggot kike	hate	{'Homosexual', 'Jewish'}	gab
he shows his wetback hating colors see you are a white hater do not worry that muzzie will see the gallows	hate	{'Hispanic', 'Islam'}	gab
this fat faggot id such a child grow up porky	hate	{'Homosexual', 'Other', 'Nonreligious'}	twitter
let masha and the bitches send that one to nigger hebben	hate	{'Nonreligious', 'Other', 'African', 'Women', 'Minority'}	gab
merkel is a moron and an east german communist who loves muzzies more than germans when will the germans kick her fat ass out of office	hate	{'Refugee', 'Other', 'Minority', 'Islam'}	gab
<user> well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action	hate	{'African'}	twitter
a jew did not tell the truth some kike sympathizing cuck shilled and virtue signalled and then a kike reposted it and called it truth	hate	{'Jewish'}	gab
racist nigger tariq nasheed was crying about white supremacy working against oj and proved that white supremacy is a myth	hate	{'African'}	gab
you have only shown that morals do not matter to you how much nigger cock did your boyfriend take tonight	hate	{'African'}	gab
shuttener of kike banks	hate	{'Jewish'}	gab
<user> you all need to take this nigger activity off my tl	hate	{'African'}	twitter
white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone	hate	{'African'}	gab
nothing regarding any nigger at school or in the work sector is based on merit you fuckers get special treatment all standards are lowered for you what are you writing your thesis on the colonel <number> special herbs and spices	hate	{'African'}	gab
welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus	hate	{'Jewish', 'African'}	gab
holy shit the ugly kike at the end	hate	{'Jewish'}	gab
i give a fuck in that i am happy there one less nigger to take our gibs	hate	{'African'}	gab
the british welfare state filthy mudshark uses uk taxpayer money to buy a horse to help her cope with depression after being dumped by one nigger she f***ed <censored> after another and left with <number> mulatto kids to raise them on taxpayers dime	hate	{'African', 'Women'}	gab
non white and kike we are coming for you a white revolution is on its way	hate	{'Jewish', 'Arab'}	gab
should be a public hanging using a short drop that way the body jerks in the breeze sends a powerful message to any other nigger who thinks it can put its paws on a white woman	hate	{'African'}	gab
california demograph spics <percent> beaner <percent> white <percent> asian <percent> nog <percent> jew california hey at least we are only <percent> nog	hate	{'Hispanic', 'African'}	gab
enjoy being a childless nigger fucker	hate	{'African'}	gab
the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot	hate	{'Homosexual', 'Jewish'}	gab
oo i had no idea it could get even better yes please start talking about this you crazy anti america nigger mother fucks	hate	{'African'}	gab
<user> ay yo what my favorite island nigger up to today out walking the dog or letting it get shot by the cops again	hate	{'African'}	gab
look how the nigglets are looking at that white child	hate	{'African'}	gab
the bbc are in mourning as the death of moslem convert sally jones aka the white widow in syria is confirmed	hate	{'None', 'Islam'}	gab
i did not mention genitalia obviously you are obsessed with nigger dick get help	hate	{'African', 'Men'}	gab
lets fight the kike	hate	{'Homosexual', 'Jewish'}	gab
gonna get some nasty ass niggers to set fire to this neighborhood	hate	{'African'}	twitter
dirty kike we have to gas them all just to make sure	hate	{'Homosexual', 'Jewish', 'Women'}	gab
that sarah press <user> the resident wannabe high brow kikess	hate	{'Jewish'}	gab
<number> hours remaining of my <number> day ban on twitter my next move is to completely overwhelm twitter thought police with hate speech allegations for everyone who is a kike and especially the adl	hate	{'Jewish'}	gab
everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct	hate	{'African'}	twitter
fuck them white kids	hate	{'None', 'Caucasian'}	twitter
in my arms by alex g is a faggot anthem	hate	{'None', 'Homosexual'}	twitter
<user> fuck you raghead	hate	{'Islam', 'Arab'}	twitter
met police terror attack in london quick lads arrest anyone who gives a moslem a dirty look search twitter for any islamophobic tweets we dont want the lemmings couch potatoes over reacting demanding we actually do something about these moslems	hate	{'None', 'Islam'}	gab
and just like you she is a welfare whore with a passel of half breed nigger brats and we all cheer her loss faggot 😂	hate	{'Homosexual', 'Women', 'African'}	gab
hunger games with little niglet babies	hate	{'African'}	gab
why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here	hate	{'None', 'Refugee', 'Islam'}	gab
we should ship guns to europeans so they can purge the filthy scum that was brought upon their door steps since obamass did not have a problem arming drug cartels and his muzzie buddies	hate	{'Islam', 'Arab'}	gab
trump playing 4 d chess or just being a filthy kike stooge	hate	{'Jewish'}	gab
who gives a shit about the kneeling nigger football league not me their hero and ringleader unemployed colon and his muzzie girlfriend are sdumbshits with a sum iq of <number>	hate	{'African', 'Islam'}	gab
clearly the libtard ground wale found a nigger to screw her probably the only time in her life she ever got laid how do you fuck a fat woman leaf threw the folds of fat until you find one that smells like shit then turn back one	hate	{'Women', 'African'}	gab
probably cos you have had the moslem clit clip your pussy sowed up so the goat probably pushes back more enthusiastically fgm moslems are the problem	hate	{'Women', 'Heterosexual', 'Islam'}	gab
beat it asshole i have already argued with enough kyke shills today	hate	{'Jewish'}	gab
like someone said would not it be a hoot if a moslem bakery refused to bake a cake for a couple of faggots	hate	{'Homosexual', 'Islam'}	gab
could someone explain to me why this kike is typing like a nigger i mean is the hasbara program so cheap that these jews are still using flip phones from the 9 0	hate	{'Jewish', 'African'}	gab
give the little nigglet a mudcookie	hate	{'African'}	gab
the enemy is the jew do not take your eye off the target there would not be muzzies flooding london if it wasn t for the jews	hate	{'Jewish', 'Islam'}	gab
get fucking gassed kike	hate	{'Jewish'}	gab
all high level bolsheviks were <percent> kosher the only russians involved were low level muscle golden rule if a kike says it it will almost always be a lie	hate	{'Jewish'}	gab
meet the jew brainwashed nigger who brought down the nfl by trying to bring down whitey maga white genocide alt right jewish war on whites nfl kaepernick	hate	{'Jewish', 'African'}	gab
what you think tomorrow the world will wake up to find all darkie flathead dindunuffins taking their last gasp	hate	{'African'}	gab
apparently this nigger does not know how america was created	hate	{'None', 'African'}	gab
🎶 o the white man worries 🎶 but the nigger do not care 🎶 cuz at the end of the mumff 🎶 his check will be there 🎶	hate	{'African'}	gab
there is a mental health question with jeb if he needed to marry a wetback for politics his family has enough money he could have gotten a telenova star	hate	{'Hispanic'}	gab
ira because i cannot get behind christians killing christians without fellow white people involvement especially considering the ira never once said a bad word about infinite nigger migration and the rapes that came with it	hate	{'Jewish', 'African'}	gab
some fuckin kike does not know what free speech is	hate	{'Jewish'}	gab
vote conservative if you do not want a nigger for a neighbour if you do not want a yid vote labour	hate	{'Jewish', 'African'}	gab
<user> y are you talking to me shut the fuck up you stupid fucking nigger	hate	{'Minority', 'Other', 'Nonreligious', 'African'}	twitter
<user> <user> facts lol that nigger came for me on here	hate	{'Minority', 'Other', 'Nonreligious', 'African'}	twitter
lmfao the retardedness yo actually stabbing a fucking real kike is not larping you muppet come on <user> ‍ you are not sending your best to bullycide us	hate	{'Disability', 'Jewish'}	gab
<user> they put the a in the one for spic kids as an afterthought that racist	hate	{'Hispanic'}	gab
niggers im calling it nigger day on gab huwhite folks should jump onboard coz i need some buzzfeed action to validate my ass	hate	{'African'}	gab
that a fair point junkies are self medicating i offer support during your rehabilitation mudsharks are nigger by injection and get the bullet	hate	{'African', 'Disability', 'Women', 'Caucasian'}	gab
people with talent something you paki street shitters lack	hate	{'Indian', 'Asian', 'Islam'}	gab
<user> fuck that nigger	hate	{'African'}	twitter
how the fuck did that nigger secured this my head is so hot	hate	{'African'}	twitter
<user> i will call my friends and we go fuck up that nigger	hate	{'African'}	twitter
<user> hahaha and that nigger has someone thinking they should fight for him what a god 😂 😂 😂 😂	hate	{'African'}	twitter
<user> look at that nigger recording us 😩 😂	hate	{'African'}	twitter
<user> am telling you my queen this niggers can make you lose weight in less than a week 😂 😂 😂	hate	{'African'}	twitter
following on from the other socialist tory pm the equally useless europhile traitor camoron theresa sharia may decides to try the hug a moslem suicide bomber approach	hate	{'None', 'Caucasian', 'Islam'}	gab
stupid meme delete now dont you dare put a kike on the boss face not even joking delete now	hate	{'Jewish'}	gab
well i apologise for any ozeez that might have forgotten that we can take the piss but go too hard and somethings amiss i do find that seppos do not understand aussie british humour and can take things personally everyones a liberal snowflake to an aussie and then they imported muzzies here damit	hate	{'Islam'}	gab
i am sure your bf dindunuffins either	hate	{'African'}	gab
camel kike spitting on aryan woman	hate	{'Jewish', 'Arab'}	gab
reports that georgia is turning blue are mistaken it turning nigger	hate	{'African'}	gab
